time,joint_name,joint_state,joint_reference,joint_torque
1734689117.6346092,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,-5.0,-5.0,5.0,0.09635989337300366,-5.0,-5.0,5.0,5.0,-2.028568132311669,-0.23139402570167888,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,0.11868016358352662,-5.0,5.0,0.5188216769044018,5.0,5.0"
1734689117.714414,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12875497504856792, -0.0416713350050113, 1.6362088933440608, -0.21768636304968592, 0.41027413857443307, 0.1942886845539853, -0.011498668620041563, -0.16177850607173383, -0.15721915564486633, 1.5969785020680547, -0.3556588516348995, 0.05917906022988095, 0.4389765998275923, 0.023183434635449807, -0.22897419721132195, -0.1494893933799082, 1.625561054417572, -0.22566928015845722, 0.06712063090257558, 0.2688614817506272, -0.047340674054909826, -0.19399547278943885, -0.01833135394301877, 1.6933595213333161, -0.14540014854094885, 0.3400133200581532, 0.05422271218852792, -0.009845323929782879","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","-5.0,-5.0,-5.0,5.0,-5.0,-5.0,-0.00736205536903789,-5.0,-5.0,1.727641421678051,5.0,5.0,-5.0,-0.006956464058820444,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,0.3782901415360662,-5.0,1.0334297107698944,-5.0,5.0,-5.0,-5.0,-0.05210998631383745"
1734689117.7326267,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","-5.0,5.0,5.0,-5.0,-0.05210998631383745,5.0,5.0,-5.0,-5.0,-5.0,-0.006956464058820444,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,1.0334297107698944,-5.0,5.0,-0.00736205536903789,1.727641421678051,-5.0,0.3782901415360662,-5.0,-5.0"
1734689117.830756,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12509782332050357, -0.041170083246306, 1.6359304299455024, -0.241570321467111, 0.4240018755462529, 0.223310341339098, 0.004058889378900865, -0.16041694105805604, -0.1548730103761642, 1.596689646586679, -0.3855302154369742, 0.049418111188287206, 0.4753125438585766, 0.0009927142342123219, -0.22705437948498286, -0.146894710951873, 1.6255663460331702, -0.2577356494613925, 0.0769927803000412, 0.3058059727358238, -0.03883811572514695, -0.19116928781569786, -0.01730952777331396, 1.6950669666994251, -0.17806363238158696, 0.35335552598003783, 0.09193887916537591, 0.0036733352021416366","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,5.0,5.0,-5.0,5.0,5.0,0.11498668620041563,5.0,5.0,-5.0,-5.0,-5.0,5.0,-0.23183434635449807,5.0,5.0,5.0,-5.0,5.0,5.0,0.47340674054909826,5.0,5.0,5.0,-5.0,5.0,5.0,0.09845323929782879"
1734689117.8350723,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,-5.0,-5.0,5.0,0.09845323929782879,-5.0,-5.0,5.0,5.0,5.0,-0.23183434635449807,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,0.11498668620041563,-5.0,5.0,0.47340674054909826,5.0,5.0"
1734689117.9361486,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,-5.0,-5.0,5.0,0.09845323929782879,-5.0,-5.0,5.0,5.0,5.0,-0.23183434635449807,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,0.11498668620041563,-5.0,5.0,0.47340674054909826,5.0,5.0"
1734689117.9942915,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.13045292757914417, -0.041315712526675874, 1.6340706840934613, -0.21689402456245244, 0.4090038426408391, 0.19543210376879205, -0.010373849704415683, -0.16349277163949694, -0.15841946364360027, 1.5970248123629247, -0.3583890750507779, 0.05931814920402001, 0.4431130897883957, 0.02447482155154379, -0.2322724832424079, -0.1509167042142039, 1.6254278072060098, -0.2287188770685944, 0.06536396252170373, 0.2726692432732616, -0.050039520065626064, -0.19677517704016, -0.017821109252889045, 1.6932261971915068, -0.1470110779648346, 0.3395260158181612, 0.057549936713870764, -0.01693542839578921","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","-5.0,2.4304805373633656,-5.0,5.0,-5.0,-5.0,-0.04058889378900865,-5.0,-5.0,-0.10233149626002103,5.0,5.0,-5.0,-0.009927142342123219,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,0.3883811572514695,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,-0.036733352021416366"
1734689118.0337167,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","2.4304805373633656,5.0,5.0,-5.0,-0.036733352021416366,5.0,5.0,-5.0,-5.0,-5.0,-0.009927142342123219,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-0.04058889378900865,-0.10233149626002103,-5.0,0.3883811572514695,-5.0,-5.0"
1734689118.124311,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12711828178022788, -0.04080749520046645, 1.6337960524110207, -0.24203360375967176, 0.42430237656063774, 0.2247185304992012, 0.004868176866185792, -0.16220508636349606, -0.15588873347358057, 1.5966292084777969, -0.38827958588591915, 0.049449694483935325, 0.4798312277664314, 0.0018662095496191355, -0.23007036995115993, -0.14894186055324, 1.62521569586744, -0.25974395506620596, 0.07066234473491306, 0.3100714816337602, -0.044588235627587736, -0.19436761839688277, -0.01740683678237165, 1.694602750643302, -0.17881915681650984, 0.3548254930108454, 0.09484351570383964, -0.002088112523525254","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,5.0,5.0,-5.0,5.0,5.0,0.10373849704415683,5.0,5.0,-5.0,-5.0,-5.0,5.0,-0.2447482155154379,5.0,5.0,-5.0,-5.0,5.0,5.0,0.5003952006562606,5.0,5.0,5.0,-5.0,5.0,5.0,0.1693542839578921"
1734689118.1335907,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,-5.0,-5.0,5.0,0.1693542839578921,-5.0,-5.0,5.0,5.0,5.0,-0.2447482155154379,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,-5.0,0.10373849704415683,-5.0,5.0,0.5003952006562606,5.0,5.0"
1734689118.2334745,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.12099013307242057, -0.04173719325678782, 1.6412572684289657, -0.22375102749842668, 0.41092990109740946, 0.19604034680924443, -0.021031676430607327, -0.15834571504599637, -0.15549947786321905, 1.5970376221278393, -0.34907353934967045, 0.059152258177316064, 0.43378054526319865, 0.022279680204357, -0.21967745991260124, -0.1487957194183691, 1.6298302924850105, -0.21483901223535984, 0.07320079449046002, 0.25406564328738845, -0.038174649453110554, -0.1852347663355456, -0.0186055232382909, 1.6968341675613008, -0.1499761148559644, 0.3359014679309915, 0.05591238808211241, -0.012075935831345141","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","5.0,-5.0,-5.0,5.0,0.1693542839578921,-5.0,-5.0,5.0,5.0,5.0,-0.2447482155154379,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,-5.0,0.10373849704415683,-5.0,5.0,0.5003952006562606,5.0,5.0"
